"SYMBOL","OPEN","HIGH","LOW","PREV.CLOSE","LTP","INDICATIVECLOSE","CHNG","%CHNG","VOLUME(shares)","VALUE(₹Crores)","52WH","52WL","30D%CHNG","365D%CHNG"
"ABCAPITAL","306.20","306.80","302.40","305.35","303.20","-","-2.15","-0.70","4,42,795","13.51","307.80","149.01","5.60","37.50"
"HINDZINC","487.25","489.35","482.00","486.40","482.95","-","-3.45","-0.71","20,18,621","97.86","575.40","378.15","7.36","-3.97"
"CUMMINSIND","4,030.00","4,030.00","3,975.00","4,006.40","3,978.00","-","-28.40","-0.71","19,931","7.99","4,168.70","2,580.00","-1.81","7.99"
"KALYANKJIL","500.00","500.00","490.00","494.90","491.30","-","-3.60","-0.73","5,80,370","28.67","795.40","399.40","-3.23","-31.16"
"ADANIPOWER","171.50","174.39","168.00","170.30","169.00","-","-1.30","-0.76","2,64,25,161","454.75","182.70","86.40","-75.99","-72.15"
"TATAELXSI","5,424.50","5,445.00","5,270.00","5,397.50","5,353.00","-","-44.50","-0.82","46,044","24.74","7,485.00","4,700.00","-5.68","-26.35"
"PERSISTENT","5,825.00","5,860.00","5,785.00","5,844.70","5,797.00","-","-47.70","-0.82","33,872","19.70","6,788.90","4,148.95","6.15","6.15"
"COFORGE","1,762.70","1,764.60","1,729.00","1,747.40","1,732.10","-","-15.30","-0.88","1,06,674","18.65","2,005.36","1,194.01","-2.67","-75.77"
"MARICO","729.10","729.90","718.00","727.35","720.80","-","-6.55","-0.90","81,792","5.92","759.00","577.85","1.00","8.67"
"LTIM","5,611.00","5,672.00","5,533.50","5,596.50","5,545.50","-","-51.00","-0.91","34,204","19.11","6,767.95","3,802.00","1.58","-6.60"
"360ONE","1,200.10","1,200.10","1,170.00","1,183.30","1,172.00","-","-11.30","-0.95","1,36,457","16.11","1,318.00","790.50","9.48","10.67"
"POLYCAB","7,694.00","7,697.50","7,572.50","7,673.50","7,599.00","-","-74.50","-0.97","65,121","49.67","7,794.50","4,555.00","1.65","7.77"
"KOTAKBANK","2,213.80","2,219.80","2,186.90","2,213.80","2,192.00","-","-21.80","-0.98","2,26,804","49.86","2,301.90","1,679.05","9.00","18.32"
"BHARATFORG","1,258.00","1,259.10","1,235.10","1,247.70","1,235.20","-","-12.50","-1.00","93,642","11.69","1,496.00","919.10","-1.96","-15.40"
"SRF","3,200.00","3,200.90","3,130.90","3,179.90","3,141.60","-","-38.30","-1.20","30,569","9.67","3,325.00","2,126.85","8.26","36.73"
"MUTHOOTFIN","3,312.10","3,322.20","3,265.10","3,322.20","3,274.00","-","-48.20","-1.45","1,31,496","43.15","3,377.90","1,756.05","13.20","68.75"
